id,q1,q2,q3,q4,q5,language
201,3,Entrega rápida y soporte amable.,Sería bueno tener más opciones de personalización.,4,Espero futuras actualizaciones.,es
202,1,Fácil de usar y muy intuitivo.,El soporte tardó en responder.,5,Gracias por una gran experiencia.,es
203,3,Great pricing for the value.,Delivery time could be faster.,3,Keep up the good work!,en
204,1,Produit de haute qualité et bien conçu.,La navigation sur le site est déroutante.,1,Merci pour cette excellente expérience.,fr
205,4,Entrega rápida y soporte amable.,Sería bueno tener más opciones de personalización.,5,Espero futuras actualizaciones.,es
206,2,高品質でよく設計された製品です。,配送時間をもっと短くしてほしいです。,3,このまま頑張ってください！,ja
207,2,性价比很高，值得购买。,希望增加更多自定义选项。,5,感谢你们的优质服务！,zh
208,2,物流很快，客服也很好。,手机应用还可以改进。,4,期待你们的新功能。,zh
209,3,Entrega rápida y soporte amable.,El soporte tardó en responder.,1,¡Sigan así!,es
210,1,Livraison rapide et support utile.,L'application mobile doit être améliorée.,4,Je le recommanderai à mes amis.,fr
211,2,Service client exceptionnel.,L'application mobile doit être améliorée.,5,Je le recommanderai à mes amis.,fr
212,2,The customer service was exceptional.,Delivery time could be faster.,3,Will recommend to friends.,en
213,4,性价比很高，值得购买。,发货速度可以更快一些。,5,继续保持！,zh
214,3,Fácil de usar y muy intuitivo.,La navegación del sitio web es confusa.,4,Ojalá lleguen a más regiones.,es
215,2,Produit de haute qualité et bien conçu.,L'application mobile doit être améliorée.,4,Je le recommanderai à mes amis.,fr
216,2,客服服务非常周到。,网站导航有点混乱。,3,会推荐给朋友。,zh
217,4,Fácil de usar y muy intuitivo.,La aplicación móvil necesita mejoras.,5,Espero futuras actualizaciones.,es
218,5,Loved the fast shipping and helpful support.,Support was a bit slow to respond.,4,Will recommend to friends.,en
219,3,Producto de alta calidad y bien diseñado.,El tiempo de entrega fue un poco largo.,1,¡Sigan así!,es
220,3,Entrega rápida y soporte amable.,El soporte tardó en responder.,3,Ojalá lleguen a más regiones.,es
221,4,High quality and well-designed product.,Navigation on the website is confusing.,4,Will recommend to friends.,en
222,3,Fácil de usar y muy intuitivo.,La navegación del sitio web es confusa.,4,Lo recomendaré a mis amigos.,es
223,3,配送が早く、サポートも親切でした。,モバイルアプリの改善が必要です。,5,素晴らしい体験をありがとうございました！,ja
224,4,Producto de alta calidad y bien diseñado.,La aplicación móvil necesita mejoras.,2,Ojalá lleguen a más regiones.,es
225,4,Livraison rapide et support utile.,Plus d'options de personnalisation seraient bienvenues.,2,Merci pour cette excellente expérience.,fr
226,4,物流很快，客服也很好。,客服响应有点慢。,1,会推荐给朋友。,zh
227,5,The customer service was exceptional.,Support was a bit slow to respond.,2,Thanks for a great experience!,en
228,5,価格に見合った価値があります。,配送時間をもっと短くしてほしいです。,1,このまま頑張ってください！,ja
229,5,Loved the fast shipping and helpful support.,More customization options would be nice.,3,Keep up the good work!,en
230,2,価格に見合った価値があります。,配送時間をもっと短くしてほしいです。,1,もっと多くの地域で利用できるようにしてください。,ja
231,1,The customer service was exceptional.,Mobile app needs improvements.,3,Looking forward to future updates.,en
232,3,高品質でよく設計された製品です。,モバイルアプリの改善が必要です。,2,友人に勧めます。,ja
233,4,Bon rapport qualité-prix.,L'application mobile doit être améliorée.,4,Continuez comme ça !,fr
234,5,価格に見合った価値があります。,モバイルアプリの改善が必要です。,5,もっと多くの地域で利用できるようにしてください。,ja
235,2,性价比很高，值得购买。,希望增加更多自定义选项。,5,感谢你们的优质服务！,zh
236,2,Très facile à utiliser et intuitif.,La navigation sur le site est déroutante.,4,Hâte de voir les prochaines mises à jour.,fr
237,1,Livraison rapide et support utile.,Le support a mis du temps à répondre.,1,Je le recommanderai à mes amis.,fr
238,2,Very easy to use and intuitive.,Mobile app needs improvements.,3,Will recommend to friends.,en
239,2,Producto de alta calidad y bien diseñado.,La navegación del sitio web es confusa.,3,Lo recomendaré a mis amigos.,es
240,4,产品质量很好，设计也不错。,手机应用还可以改进。,5,希望能扩展到更多地区。,zh
241,2,Entrega rápida y soporte amable.,El soporte tardó en responder.,5,¡Sigan así!,es
242,3,Fácil de usar y muy intuitivo.,El tiempo de entrega fue un poco largo.,5,¡Sigan así!,es
243,3,Bon rapport qualité-prix.,Plus d'options de personnalisation seraient bienvenues.,4,Merci pour cette excellente expérience.,fr
244,2,物流很快，客服也很好。,客服响应有点慢。,4,继续保持！,zh
245,4,Très facile à utiliser et intuitif.,La livraison pourrait être plus rapide.,4,Merci pour cette excellente expérience.,fr
246,2,Buena relación calidad-precio.,El soporte tardó en responder.,3,Ojalá lleguen a más regiones.,es
247,5,Buena relación calidad-precio.,El tiempo de entrega fue un poco largo.,2,Gracias por una gran experiencia.,es
248,1,配送が早く、サポートも親切でした。,モバイルアプリの改善が必要です。,1,今後のアップデートが楽しみです。,ja
249,1,物流很快，客服也很好。,发货速度可以更快一些。,1,会推荐给朋友。,zh
250,2,Très facile à utiliser et intuitif.,La navigation sur le site est déroutante.,2,Continuez comme ça !,fr
