id,q1,q2,q3,q4,q5,language
151,5,The customer service was exceptional.,More customization options would be nice.,2,Keep up the good work!,en
152,3,性价比很高，值得购买。,客服响应有点慢。,4,期待你们的新功能。,zh
153,2,The customer service was exceptional.,Mobile app needs improvements.,3,Will recommend to friends.,en
154,1,非常容易使用，界面友好。,手机应用还可以改进。,5,会推荐给朋友。,zh
155,1,カスタマーサービスが素晴らしかったです。,サイトのナビゲーションがわかりにくいです。,2,素晴らしい体験をありがとうございました！,ja
156,3,Très facile à utiliser et intuitif.,Plus d'options de personnalisation seraient bienvenues.,2,Espérons que vous vous développiez davantage.,fr
157,1,価格に見合った価値があります。,サイトのナビゲーションがわかりにくいです。,2,このまま頑張ってください！,ja
158,5,客服服务非常周到。,网站导航有点混乱。,1,希望能扩展到更多地区。,zh
159,4,El servicio al cliente fue excelente.,La aplicación móvil necesita mejoras.,5,Espero futuras actualizaciones.,es
160,4,The customer service was exceptional.,Delivery time could be faster.,5,Hope you expand to more regions.,en
161,5,客服服务非常周到。,希望增加更多自定义选项。,2,会推荐给朋友。,zh
162,3,Great pricing for the value.,More customization options would be nice.,4,Keep up the good work!,en
163,2,产品质量很好，设计也不错。,客服响应有点慢。,5,希望能扩展到更多地区。,zh
164,4,価格に見合った価値があります。,モバイルアプリの改善が必要です。,4,友人に勧めます。,ja
165,4,Great pricing for the value.,Support was a bit slow to respond.,3,Hope you expand to more regions.,en
166,3,Producto de alta calidad y bien diseñado.,Sería bueno tener más opciones de personalización.,3,Espero futuras actualizaciones.,es
167,3,とても使いやすく直感的です。,カスタマイズの選択肢をもっと増やしてほしいです。,2,友人に勧めます。,ja
168,5,Très facile à utiliser et intuitif.,Le support a mis du temps à répondre.,3,Hâte de voir les prochaines mises à jour.,fr
169,2,Produit de haute qualité et bien conçu.,Le support a mis du temps à répondre.,4,Continuez comme ça !,fr
170,1,El servicio al cliente fue excelente.,Sería bueno tener más opciones de personalización.,3,Lo recomendaré a mis amigos.,es
171,3,Très facile à utiliser et intuitif.,Le support a mis du temps à répondre.,3,Espérons que vous vous développiez davantage.,fr
172,3,Loved the fast shipping and helpful support.,Delivery time could be faster.,2,Hope you expand to more regions.,en
173,3,Service client exceptionnel.,L'application mobile doit être améliorée.,3,Hâte de voir les prochaines mises à jour.,fr
174,2,High quality and well-designed product.,Navigation on the website is confusing.,4,Thanks for a great experience!,en
175,5,Livraison rapide et support utile.,Le support a mis du temps à répondre.,5,Merci pour cette excellente expérience.,fr
176,1,产品质量很好，设计也不错。,发货速度可以更快一些。,1,期待你们的新功能。,zh
177,3,产品质量很好，设计也不错。,发货速度可以更快一些。,3,继续保持！,zh
178,3,価格に見合った価値があります。,モバイルアプリの改善が必要です。,3,今後のアップデートが楽しみです。,ja
179,1,カスタマーサービスが素晴らしかったです。,モバイルアプリの改善が必要です。,1,もっと多くの地域で利用できるようにしてください。,ja
180,5,Producto de alta calidad y bien diseñado.,La navegación del sitio web es confusa.,4,¡Sigan así!,es
181,2,カスタマーサービスが素晴らしかったです。,配送時間をもっと短くしてほしいです。,1,友人に勧めます。,ja
182,3,客服服务非常周到。,网站导航有点混乱。,5,希望能扩展到更多地区。,zh
183,4,カスタマーサービスが素晴らしかったです。,配送時間をもっと短くしてほしいです。,1,素晴らしい体験をありがとうございました！,ja
184,5,配送が早く、サポートも親切でした。,配送時間をもっと短くしてほしいです。,5,友人に勧めます。,ja
185,2,Entrega rápida y soporte amable.,El tiempo de entrega fue un poco largo.,2,Ojalá lleguen a más regiones.,es
186,3,客服服务非常周到。,希望增加更多自定义选项。,1,继续保持！,zh
187,1,Livraison rapide et support utile.,Plus d'options de personnalisation seraient bienvenues.,2,Continuez comme ça !,fr
188,5,Entrega rápida y soporte amable.,La navegación del sitio web es confusa.,2,Espero futuras actualizaciones.,es
189,2,Great pricing for the value.,More customization options would be nice.,2,Keep up the good work!,en
190,5,Buena relación calidad-precio.,La aplicación móvil necesita mejoras.,1,¡Sigan así!,es
191,3,Producto de alta calidad y bien diseñado.,El soporte tardó en responder.,2,Ojalá lleguen a más regiones.,es
192,2,High quality and well-designed product.,Mobile app needs improvements.,3,Thanks for a great experience!,en
193,3,性价比很高，值得购买。,客服响应有点慢。,4,会推荐给朋友。,zh
194,2,Service client exceptionnel.,Le support a mis du temps à répondre.,3,Je le recommanderai à mes amis.,fr
195,3,产品质量很好，设计也不错。,客服响应有点慢。,4,会推荐给朋友。,zh
196,4,Great pricing for the value.,Delivery time could be faster.,5,Keep up the good work!,en
197,2,Great pricing for the value.,Navigation on the website is confusing.,1,Thanks for a great experience!,en
198,4,产品质量很好，设计也不错。,网站导航有点混乱。,3,希望能扩展到更多地区。,zh
199,4,性价比很高，值得购买。,手机应用还可以改进。,1,希望能扩展到更多地区。,zh
200,4,性价比很高，值得购买。,客服响应有点慢。,2,期待你们的新功能。,zh
