id,q1,q2,q3,q4,q5,language
101,3,客服服务非常周到。,网站导航有点混乱。,4,感谢你们的优质服务！,zh
102,4,Très facile à utiliser et intuitif.,La livraison pourrait être plus rapide.,3,Merci pour cette excellente expérience.,fr
103,5,Entrega rápida y soporte amable.,Sería bueno tener más opciones de personalización.,2,¡Sigan así!,es
104,5,Producto de alta calidad y bien diseñado.,Sería bueno tener más opciones de personalización.,2,Lo recomendaré a mis amigos.,es
105,3,物流很快，客服也很好。,手机应用还可以改进。,3,继续保持！,zh
106,3,性价比很高，值得购买。,希望增加更多自定义选项。,5,会推荐给朋友。,zh
107,2,配送が早く、サポートも親切でした。,モバイルアプリの改善が必要です。,3,友人に勧めます。,ja
108,1,Très facile à utiliser et intuitif.,Plus d'options de personnalisation seraient bienvenues.,3,Espérons que vous vous développiez davantage.,fr
109,5,Loved the fast shipping and helpful support.,Delivery time could be faster.,4,Looking forward to future updates.,en
110,3,Fácil de usar y muy intuitivo.,La aplicación móvil necesita mejoras.,5,Gracias por una gran experiencia.,es
111,1,高品質でよく設計された製品です。,モバイルアプリの改善が必要です。,4,素晴らしい体験をありがとうございました！,ja
112,4,产品质量很好，设计也不错。,网站导航有点混乱。,4,期待你们的新功能。,zh
113,5,価格に見合った価値があります。,配送時間をもっと短くしてほしいです。,4,友人に勧めます。,ja
114,4,配送が早く、サポートも親切でした。,サイトのナビゲーションがわかりにくいです。,5,素晴らしい体験をありがとうございました！,ja
115,5,性价比很高，值得购买。,网站导航有点混乱。,4,希望能扩展到更多地区。,zh
116,1,高品質でよく設計された製品です。,サポートの対応が少し遅かったです。,1,素晴らしい体験をありがとうございました！,ja
117,2,Service client exceptionnel.,Le support a mis du temps à répondre.,5,Merci pour cette excellente expérience.,fr
118,1,Très facile à utiliser et intuitif.,Plus d'options de personnalisation seraient bienvenues.,5,Je le recommanderai à mes amis.,fr
119,1,配送が早く、サポートも親切でした。,配送時間をもっと短くしてほしいです。,3,友人に勧めます。,ja
120,5,価格に見合った価値があります。,サポートの対応が少し遅かったです。,3,友人に勧めます。,ja
121,4,Fácil de usar y muy intuitivo.,El tiempo de entrega fue un poco largo.,2,Lo recomendaré a mis amigos.,es
122,3,The customer service was exceptional.,Delivery time could be faster.,2,Will recommend to friends.,en
123,1,Producto de alta calidad y bien diseñado.,La navegación del sitio web es confusa.,4,Lo recomendaré a mis amigos.,es
124,1,Loved the fast shipping and helpful support.,Mobile app needs improvements.,2,Hope you expand to more regions.,en
125,1,Entrega rápida y soporte amable.,El soporte tardó en responder.,3,¡Sigan así!,es
126,4,Producto de alta calidad y bien diseñado.,El tiempo de entrega fue un poco largo.,5,Lo recomendaré a mis amigos.,es
127,1,Entrega rápida y soporte amable.,El soporte tardó en responder.,5,Lo recomendaré a mis amigos.,es
128,2,とても使いやすく直感的です。,カスタマイズの選択肢をもっと増やしてほしいです。,4,今後のアップデートが楽しみです。,ja
129,2,カスタマーサービスが素晴らしかったです。,サイトのナビゲーションがわかりにくいです。,1,友人に勧めます。,ja
130,4,Bon rapport qualité-prix.,L'application mobile doit être améliorée.,2,Je le recommanderai à mes amis.,fr
131,1,Loved the fast shipping and helpful support.,Mobile app needs improvements.,4,Hope you expand to more regions.,en
132,2,Livraison rapide et support utile.,La navigation sur le site est déroutante.,5,Hâte de voir les prochaines mises à jour.,fr
133,5,Livraison rapide et support utile.,Le support a mis du temps à répondre.,1,Je le recommanderai à mes amis.,fr
134,5,Very easy to use and intuitive.,Delivery time could be faster.,5,Keep up the good work!,en
135,5,The customer service was exceptional.,Navigation on the website is confusing.,1,Keep up the good work!,en
136,1,Producto de alta calidad y bien diseñado.,La navegación del sitio web es confusa.,1,¡Sigan así!,es
137,1,価格に見合った価値があります。,カスタマイズの選択肢をもっと増やしてほしいです。,2,素晴らしい体験をありがとうございました！,ja
138,3,とても使いやすく直感的です。,サポートの対応が少し遅かったです。,1,友人に勧めます。,ja
139,5,価格に見合った価値があります。,モバイルアプリの改善が必要です。,2,今後のアップデートが楽しみです。,ja
140,3,High quality and well-designed product.,Support was a bit slow to respond.,5,Will recommend to friends.,en
141,5,Livraison rapide et support utile.,La navigation sur le site est déroutante.,4,Continuez comme ça !,fr
142,4,High quality and well-designed product.,Navigation on the website is confusing.,1,Looking forward to future updates.,en
143,5,Loved the fast shipping and helpful support.,Mobile app needs improvements.,2,Will recommend to friends.,en
144,5,カスタマーサービスが素晴らしかったです。,カスタマイズの選択肢をもっと増やしてほしいです。,3,素晴らしい体験をありがとうございました！,ja
145,2,Buena relación calidad-precio.,El soporte tardó en responder.,4,Ojalá lleguen a más regiones.,es
146,5,Producto de alta calidad y bien diseñado.,El tiempo de entrega fue un poco largo.,2,Lo recomendaré a mis amigos.,es
147,4,El servicio al cliente fue excelente.,El tiempo de entrega fue un poco largo.,5,Gracias por una gran experiencia.,es
148,1,価格に見合った価値があります。,サポートの対応が少し遅かったです。,1,今後のアップデートが楽しみです。,ja
149,3,価格に見合った価値があります。,配送時間をもっと短くしてほしいです。,3,友人に勧めます。,ja
150,4,High quality and well-designed product.,More customization options would be nice.,5,Will recommend to friends.,en
