id,q1,q2,q3,q4,q5,language
1,2,Très facile à utiliser et intuitif.,Plus d'options de personnalisation seraient bienvenues.,5,Merci pour cette excellente expérience.,fr
2,3,High quality and well-designed product.,More customization options would be nice.,3,Thanks for a great experience!,en
3,5,Very easy to use and intuitive.,Navigation on the website is confusing.,1,Thanks for a great experience!,en
4,4,Bon rapport qualité-prix.,Plus d'options de personnalisation seraient bienvenues.,3,Continuez comme ça !,fr
5,4,Fácil de usar y muy intuitivo.,Sería bueno tener más opciones de personalización.,3,Lo recomendaré a mis amigos.,es
6,2,Very easy to use and intuitive.,Mobile app needs improvements.,5,Will recommend to friends.,en
7,5,The customer service was exceptional.,Support was a bit slow to respond.,4,Hope you expand to more regions.,en
8,4,Loved the fast shipping and helpful support.,More customization options would be nice.,2,Hope you expand to more regions.,en
9,5,Fácil de usar y muy intuitivo.,El tiempo de entrega fue un poco largo.,5,Espero futuras actualizaciones.,es
10,3,カスタマーサービスが素晴らしかったです。,モバイルアプリの改善が必要です。,2,今後のアップデートが楽しみです。,ja
11,3,カスタマーサービスが素晴らしかったです。,サポートの対応が少し遅かったです。,5,友人に勧めます。,ja
12,3,客服服务非常周到。,客服响应有点慢。,2,会推荐给朋友。,zh
13,5,Great pricing for the value.,More customization options would be nice.,1,Will recommend to friends.,en
14,4,Buena relación calidad-precio.,La aplicación móvil necesita mejoras.,2,Lo recomendaré a mis amigos.,es
15,1,Produit de haute qualité et bien conçu.,La navigation sur le site est déroutante.,4,Hâte de voir les prochaines mises à jour.,fr
16,5,El servicio al cliente fue excelente.,La navegación del sitio web es confusa.,4,Lo recomendaré a mis amigos.,es
17,5,The customer service was exceptional.,Mobile app needs improvements.,1,Thanks for a great experience!,en
18,2,物流很快，客服也很好。,发货速度可以更快一些。,2,期待你们的新功能。,zh
19,5,Great pricing for the value.,Navigation on the website is confusing.,4,Will recommend to friends.,en
20,3,Great pricing for the value.,Support was a bit slow to respond.,4,Thanks for a great experience!,en
21,3,配送が早く、サポートも親切でした。,カスタマイズの選択肢をもっと増やしてほしいです。,2,素晴らしい体験をありがとうございました！,ja
22,2,Bon rapport qualité-prix.,La livraison pourrait être plus rapide.,5,Continuez comme ça !,fr
23,5,产品质量很好，设计也不错。,手机应用还可以改进。,5,期待你们的新功能。,zh
24,1,Produit de haute qualité et bien conçu.,La navigation sur le site est déroutante.,2,Merci pour cette excellente expérience.,fr
25,4,Very easy to use and intuitive.,Delivery time could be faster.,5,Thanks for a great experience!,en
26,3,配送が早く、サポートも親切でした。,カスタマイズの選択肢をもっと増やしてほしいです。,4,友人に勧めます。,ja
27,5,Fácil de usar y muy intuitivo.,La navegación del sitio web es confusa.,5,Lo recomendaré a mis amigos.,es
28,4,Très facile à utiliser et intuitif.,La livraison pourrait être plus rapide.,4,Merci pour cette excellente expérience.,fr
29,4,カスタマーサービスが素晴らしかったです。,モバイルアプリの改善が必要です。,2,友人に勧めます。,ja
30,5,Très facile à utiliser et intuitif.,Le support a mis du temps à répondre.,5,Espérons que vous vous développiez davantage.,fr
31,2,とても使いやすく直感的です。,配送時間をもっと短くしてほしいです。,5,素晴らしい体験をありがとうございました！,ja
32,2,物流很快，客服也很好。,希望增加更多自定义选项。,5,感谢你们的优质服务！,zh
33,1,El servicio al cliente fue excelente.,El soporte tardó en responder.,1,Gracias por una gran experiencia.,es
34,5,非常容易使用，界面友好。,客服响应有点慢。,1,希望能扩展到更多地区。,zh
35,5,El servicio al cliente fue excelente.,La aplicación móvil necesita mejoras.,3,Gracias por una gran experiencia.,es
36,3,High quality and well-designed product.,Mobile app needs improvements.,2,Thanks for a great experience!,en
37,3,High quality and well-designed product.,Support was a bit slow to respond.,3,Keep up the good work!,en
38,1,Très facile à utiliser et intuitif.,Plus d'options de personnalisation seraient bienvenues.,2,Merci pour cette excellente expérience.,fr
39,5,Loved the fast shipping and helpful support.,Mobile app needs improvements.,2,Hope you expand to more regions.,en
40,2,Fácil de usar y muy intuitivo.,El soporte tardó en responder.,5,Ojalá lleguen a más regiones.,es
41,2,Great pricing for the value.,Mobile app needs improvements.,1,Hope you expand to more regions.,en
42,5,The customer service was exceptional.,Delivery time could be faster.,4,Hope you expand to more regions.,en
43,2,性价比很高，值得购买。,客服响应有点慢。,1,希望能扩展到更多地区。,zh
44,2,Très facile à utiliser et intuitif.,Le support a mis du temps à répondre.,4,Merci pour cette excellente expérience.,fr
45,3,物流很快，客服也很好。,发货速度可以更快一些。,2,继续保持！,zh
46,2,性价比很高，值得购买。,发货速度可以更快一些。,1,期待你们的新功能。,zh
47,5,客服服务非常周到。,手机应用还可以改进。,5,期待你们的新功能。,zh
48,2,产品质量很好，设计也不错。,希望增加更多自定义选项。,4,期待你们的新功能。,zh
49,5,Entrega rápida y soporte amable.,El tiempo de entrega fue un poco largo.,3,Lo recomendaré a mis amigos.,es
50,5,Entrega rápida y soporte amable.,Sería bueno tener más opciones de personalización.,3,Lo recomendaré a mis amigos.,es
